순서,용어명,내용
4883,"허용지지력 (許容支持力, Allowable Bearing Cap- acity)",지반의 진단파괴 또는 침하로 인하여 상부의 구조물에 피해가 생기지 않는 범위에서 허용될 수 있는 최대의 하중이다.
4884,"허용한계치 (許容限界値, Threshold Limit Value)","거의 모든 근로자가 7-8시간, 일주 40시간을 취업하여도 작업장환경에 존재하는 유해한 가스, 증기, 분진으로부터의 피해가 없다고 믿어져 허용될수 있는 한계의 수치이다. 이 수치는 학자에 따라서 또는 국가에 따라서 다소의 차이가 있다. 미국산업위생전문가회의(ACGIH)는 허용한계치를 다음과 같이 정의하고 있다."
4885,헤더 (Header),여러개의 관을 1개소에 모으거나 또는 균일하게 분배하는 용기이다.
4886,"헤드탱크/급수탱크/고가수조 (高架水槽, Head Tank/ Elevated Tank)","압력수두를 갖게 하기 위하여 일반적으로 높은 위치에 설치된 급수탱크. 수차의 유량이 변동되는 경우, 수조내 수위를 일정하게 유지하기 위하여 도수로 끝에 설치하는 탱크이다."
4887,헤르츠 (CPS (Cycle Per Second/Hertz)),1. 1초간에 진동하는 교류의 주파수. 주파수의 단위로서 사이클/초를 나타내며 HZ로 표시함 2. Critical Path Scheduling의 약어로서 계획전체를 소정의 목표에 적합한 형태로 조정하는 관리방법의 한가지이다.
4888,"헥토파스칼 (헥토파스칼, hPa (Hecto Pascal)",기압의 값을 나타내는 단위로 세계기상기구(WMO)가 기존의 기압단위인 밀리바(mb) 대신에 85년부터 이의 사용을 권장함에 따라 우리나라도 93년 1월부터 채택해 쓰고 있다. 즉 1hPa는 1mb로 1의 면적에 1천dyne(다인.힘의 단위)의 힘이 작용하는 압력을 뜻한다. 또 정상기압인 1기압은 1013hpa이며 이는 높이 76cm의 수은주가 밑면에 미치는 압력과 같다. mb대신에 hPa를 쓰게 된 것은 수은기둥의 높이가 상층으로 올라갈수록 감소한다는 원리 즉 대기가 작용하는 압력은 지표면에서 가장 크고 고도가 증가함에 따라 줄어든다는 것을 발견한 프랑스 수학자이자 물리학자인 블레르 파스칼의 이름을 땄기 때문이다. 파스칼(Pa)은 압력의 단위로 쓰이는 것으로 여기에 1백배를 뜻하는 헥토(Hecto)를 붙여 기압의 단위로 쓰게 됐다.
4889,헬리캠(Heli-Cam),멀티콥터에 소형카메라와 짐벌을 장착하여 촬영용으로 사용하는 특수촬영장비이다. 무선조종헬기에 카메라를 장착했다하여 방송계의 오래된 약칭이다.
4890,헬리컬기어 (Helical Gear),전달차의 주위에 경사진 치가 가공된 기어이다. 평기어에 비해 소음진동이 적어 고속운전에 적합하며 물림율이 좋아 큰 회전비를 얻을 수 있으나 축방향의 추력이 발생한다.
4891,"현가법 (現價法, PV (Present Value Method))","초기의 투자와 수입을 모두 현재의 가치로 환산하여 비교가 쉽게 한 방법으로 계산이 간편하며 이해하기 쉽다. Plant건설 등의 Project에서는 기획부터 착공, 완공에 이르기까지 수년이상의 장기간인 경우가 많고 장기간에 투자를 하여 자금을 회수하고 이익을 얻지 않으면 안 된다. 따라서 경제성 평가를 함에 있어서 단순히 외관상의 자금량을 비교하는 것이 아니며, 그 시간적인 가치를 함께 고려할 필요가 있으며, 일반적으로는 현재의 가치를 現價(Present Value), 자금이 효과가 미치는 최종 시점의 가치를 終價(Final Value), 매년말 균등한 값으로 환산한 평균치를 年價(Adjusted Mean)라 하고, 현가와 종가의 관계를 식으로 나타내면 다음과 같다. 終價 = 現價 × (1 - 年利律)"
4892,"현상사용 (現狀使用, Use-as-is)","부적합사항보고서에 대한 처리의 일종으로서 어떠한 결함사항이 원래의 기능에 영향을 주지 않으며 성능, 보수성, 적합성 및 안전성을 포함한 모든 기능상의 요건과 일치한다고 판단될 때 별도의 조치 없이 현 상태로 사용될 수 있도록 결정한 것이다."
4893,"현수관 (懸垂管, Column Pipe)",수직축 펌프에서 그 하부에 양수작용을 하는 부분이 설치된 관이다.
4894,"현수애자 (懸垂碍子, Suspension Insulator",사용전압에 따라 적당한 갯수의 애자를 직렬로 연결하여 지지물로부터 수직으로 늘어뜨려 전선을 지지하는데 사용하는 애자이다.
4895,"현장개별조작 (現場個別操作, Field Individual Operation)",현장에서 기기를 수동으로 직접 조작하는 단독운전 방식을 말한다.
4896,"현장시험 (現場試驗, Field Test)",각종기기의 운전상태 및 성능등에 대하여 사용장소에서 설치후 행하는 시험이다.
4897,"현장판넬 (現場판넬, Local Panel)",현장 보조기기 부근에 설치되어 그 보조 기기의 조작등에 필요한 기구나 계기류등이 설치된 계기반이다.
4898,"현장평형잡기 (現場平衡잡기, Field Balancing)","터빈, 발전기, 보조기기 등 회전체의 불균형으로 진동이 발생하였을 시 현장에서 진동을 교정하는 것이다."
4899,"현절비 (絃節比, Solidity, Chord-Pitch Ratio)",익현길이와 피치와의 비이다.
4900,"현탁연료 (懸濁燃料, Slurry Fuel)",석탄에 물이나 기름을 넣어서 현탁화한 연료로서 Coal Oil Mixture (석탄:기름=50:50)와 Coal Water Mixture (석탄:물=70:30)가 있다.
4901,혐기성소화공정,산소가 없는 상태 하에서 미생물을 이용해서 유기물을 분해하여 주로 메탄가스를 생성시키는 공정을 말함
4902,"협대역 사물 인터넷(NarrowBand-Internet of Things,NB-IoT)","이동통신망을 통해 저전력광역(LPWA: Low Power Wide Area) 통신을 지원하는 협대역 사물인터넷표준. 지에스엠(GSM: Global System for Mobile Communications) 또는 엘티이(LTE: Long Term Evolution) 망에서 좁은 대역을 이용하여, 수백kbps 이하의 데이터전송속도와 10 km 이상의 광역서비스를 지원한다. 따라서 수도검침, 위치추적용기기 등과 같이 원거리에 있고 전력소비가 낮은 사물간의 통신에 적합하다."
4903,"협력·지능형 교통 체계(協力知能型交通體系,Cooperative Intelligent Transport Systems,C-ITS)","차량과 차량, 차량과 인프라 등 유무선 통신을 통하여 정보를 주고 받는 차량·사물 통신(V2X: Vehicle to Everything) 기술을 이용하여 서로 협력하는 지능형 교통 체계(ITS). C-ITS는 V2X 기술을 기반으로 하여 도로, 차량, 운전자 간의 관련성이 보다 긴밀해진다. 차량은 주행 중 다른 차량에서 직접 정보를 수신하거나 노변의 기지국이나 CCTV를 통해 주변 교통 상황, 급정거, 낙하물 등 정보를 실시간으로 확인할 수 있다. C-ITS는 2009년부터 유럽에서 사용된 용어이며, 미국에서는 커넥티드 비히클(connected vehicle), 일본에서는 아이티에스 스폿(ITS spot)이라 불리기도 한다. "
4904,"협약과 의정서 (協約과 議定書, Convention & Prot- ocol)",협약은 일반적인 원칙을 다룬 문서이고 의정서는 법률에 대한 시행령의 관계와 마찬가지로 협약을 구체적으로 이행하기 위한 내용을 담은 문서이다.
4905,"협착 (狹窄, Narrowness)","왕복운동을 하는 동작부분과 움직임이 없는 고정부분 사이에 형성되는 위험으로 사업장의 기계설비에서 많이 볼수 있다. 예를 들면 프레스, 전단기, 성형기, 조형기, 굽힘기계(bending machine)등이 있다."
4906,"형상관리 (形狀管理, Configuration Control)","1. 계통 내에서의 형상관리 항목을 식별하고, 정의하는 과정을 말하며, 계통의 수명기간동안 이러한 형상관리 항목들의 변경 또는 해제를 관리하고, 형상관리 항목의 상태 및 변경 요구를 기록 및 보고함2. 발전소내 시설, 장비, 절차서에 발전소 전수명기간에 걸쳐 현재 설계된 대로의 발전소 상태가 동일하게 반영되도록 하기 위하여 다음과 같은 업무에 적절한 관리책임과 관리체계를 수립, 운영하는 것 - 문서의 서류화, 검토, 승인 및 설계관련 자료의 개정 - 설계입력 및 설계가정조건을 설계요건으로 변환하는 작업 - 설계요건들이 발전설비 및 외관형상에 정확히 반영되도록 하는 일 - 발전소내 절차서 및 교육, 훈련 자료와 설계관련 자료가 일치되도록 하는 일 - 기본계획서류가 변경되는 경우 이에 영향을 받는 문서를 변경하는 일 - 절차서 개발 또는 개정 담당자가 설계관련 자료, 사고분석 자료 등을 쉽게 열람할 수 있도록 하는 일을 말한다."
4907,"형상손실 (形狀損失, Profile Loss)","터빈 내부효율에 영향을 미치는 손실로서 회전날개의 원주속도에 대한 증기속도의 비, 날개의 반동도 속도계수 등에 의한 손실영향 요소가 있다. 이중 속도계수는 날개의 표면조건에 영향을 받지만 근본적으로 날개형상에 영향을 많이 받게 되는데 이러한 손실을 말한다."
4908,호기성분해,혐기성 분해와 반대되는 분해로서 산소를 좋아하는 미생물에 의하여 유기물을 분해시키는 것
4909,호깅에어이젝터 (Hoging Air Ejector),터빈 기동시 복수기 및 사이클론식 순환수관 내부의 공기를 추출하는 장치로 단시간에 다량의 공기를 추출시켜야 하므로 용량이 큰 반면 고진공용이 아니므로 대개 1단 증기분출형식으로 되어 있다.
4910,호닝 (Honing),다듬질한 표면을 평활하게 윤활성을 부여하기 위하여 여러개의 숫돌이 한조가 되어 연마하는 공작법으로 연마제를 포함한 액체를 공작물의 표면에 뿜어서 표면을 가공하는 방법을 액체호닝이라 한다.
4911,호스밸브 (Hose Valve),호스를 접속하여 사용할 수 있도록 호스 이음이 붙어 있는 밸브이다.
4912,호스트 파일(HOST(S) file),IP 주소에 호스트의 이름 분석 주소를 알려주는 유닉스의 텍스트 파일. IP 주소 라인마다 해당 호스트 이름을 함께 나타낸 이 파일은 네트워크 기반의 네이밍 시스템에서 좀 길긴 하지만 아직도 점검이나 특수한 경우에 네이밍 시스템을 무시하고 접속시키기 위해 사용된다.
4913,"호안 (湖岸, Revetment/Bank Protection)",하안 또는 제방을 유수에 의한 침식에서 보호하기 위하여 그 비탈면에 시공하는 보호공을 호안이라 한다. 호안은 제방의 비탈면에 시공되는 제방호안 및 고수를 보호하기 위한 호안으로 분류된다.
4914,호이스트 (Hoist),"원동기, 감속장치, 드럼 등을 한 덩어리로 조립하여 로프 등에 의하여 화물을 올리고 내리는 장치이다."
4915,호퍼 (Hopper),고체나 액체 등을 일시 저장하거나 또는 배출하는데 사용되는 깔대기형의 금속 용기이다.
4916,"호퍼가열기 (호퍼加熱器, Hopper Heater)",전기집진기 호퍼 내 비회가 온도저하에 의한 흡습으로 굳어져 배출이 어려워지는 것을 방지하기 위하여 호퍼 외부에 증기 또는 전기식 가열장치를 설치하여 내부의 회를 가열하는 장치이다.
4917,"호퍼진동기 (호퍼振動器, Hopper Vibrator)","호퍼의 벽에 기계적으로 진동을 주어 석탄, 회 등의 부착을 방지하여 잘 내려오게 하는 장치이다."
4918,"호흡기 (呼吸器, Breather)",유입변압기에 있어서 주위온도 및 부하의 변화에 따른 변압기유의 온도변화는 체적변화를 수반하여 변압기 내부에 압력변화를 일으킨다. 이 압력의 변화를 일정치 이내로 유지하기 위하여 외기와 변압기 내부를 연결시키는 통기장치를 말한다. 그런데 변압기유가 외기와 직접 접하게 되면 흡습으로 인하여 열화되기 때문에 이것을 방지하기 위하여 실리카겔과 같은 흡습제를 거쳐 공기를 흡입시키도록 되어 있다.
4919,"혼류(사류)블로어 (混流블로어, Mixed Flow Blo- wer)",기체가 임펠러의 축방향에 대하여 어떤 기울기를 갖고 흘러나가는 블로어를 말한다.
4920,"혼류송풍기 (混流送風機, Mixed Flow Fan)","날개차 내의 유체의 흐름경로가 반경류와 축류가 혼합된 것과 같은 송풍기로서 보통의 원심송풍기와 축류송풍기의 중간성능과 특징을 가지고 있다. 즉, 전자보다 토출량은 많고 후자보다 압력비가 큰 것에 적합하다."
4921,"혼류압축기 (混流壓縮機, Mixed Flow Compressor)",원심압축기의 날개차를 축방향으로 눕힌 형식. 즉 유로가 축에 대하여 90도 보다 작은 일정각도로 기울어짐으로써 사류압축기라고도 함. 기체를 압축하는 기구는 원심식과 같으나 날개차 내에서의 유로의 굴곡이 적고 그로 인한 손실이 감소되므로 효율은 좋은 것으로 알려져 있으나 기울기에 따라서 축방향의 길이가 길어지는 것이 결점이다.
4922,"혼상탑 (混床塔, MBP (Mixed Bed Polisher))","순수 제조방식의 하나인 이온교환처리방식은 양이온수지와 음이온수지를 각각의 탑에 충전처리하는 방식과 한 탑안에 충전처리하는 방식이 있는데 전자를 복상식, 후자를 혼상식이라 한다. 복상식 이온교환장치나 역삼투압장치 등으로 일단 처리된 물을 양이온 수지와 음이온수지를 충전 혼합한 탑에 통과시켜 고순도의 물을 얻기도 하는데 이탑을 Mixed Bed Polisher라 한다."
4923,"혼소 (混燒, Multi-Fuel Firing)",두종류 이상의 연료를 동시에 연소시키는 것으로 보통 무연탄과 중유 또는 LNG와 중유를 함께 사용한다.
4924,"혼소율 (混燒率, Mixed Fuel Burning Ratio/ Proportion of Mixed Fuel)",2종 이상의 연료를 사용하는 보일러에서 한종류의 연료가 차지하는 비유를 말하며 중량비와 열량비가 있으나 통상 열량혼소율을 말한다. Bunker-C와 무연탄을 혼소하는 발전소에서 무연탄 혼소율 50%라함은 총보일러 입열중 무연탄이 차지한 열량비가 50%임을 말한다. MR=(석탄량X석탄열량)/ [(중유사용량X중유발열량)+(석탄사용량X석탄발열량)]
4925,"혼식터빈 (혼합식터빈) (混式터빈(混合式터빈), Com- bination Turbine)",동일 증기터빈에 충동식과 반동식을 같이 사용하는 터빈을 말한다.
4926,"혼압터빈 (混壓터빈, Mixed Pressured Turbine)","고압증기, 저압증기 혹은 고.저압 증기를 동시에 공급하여 운전하는 터빈을 말한다. 혼압터빈은 고압부와 저압부로 구성된다. 저압증기가 풍부하여 이것만으로 소요의 동력을 발생할 수 있는 경우는 고압을 공진시키지만 저압증기만으로 출력이 부족할 때는 고압증기를 공급한다."
4927,"혼합 현실(混合現實,Mixed Reality,MR)","현실 세계(real world)와 가상 세계(virtual world)가 혼합된 상태. 혼합 현실은 현실을 기반으로 가상 정보를 부가하는 증강 현실(AR: Augmented Reality)과 가상 환경에 현실 정보를 부가하는 증강 가상(AV: Augmented Virtuality)의 의미를 포함한다. 즉, 혼합 현실은 완전 가상 세계(가상 현실, Virtual Reality)가 아닌 현실과 가상이 자연스럽게 연결된 스마트 환경을 사용자에게 제공하여, 풍부한 체험을 제공한다. 일기 예보나 뉴스전달을 위한 방송국 가상 스튜디오, 스마트폰이나 스마트안경(스마트글래스)에서 촬영한 영상을 바탕으로 보여주는 지도 정보, 항공기 가상 훈련, 가상으로 옷을 입어볼 수 있는 거울 등으로 다양한 분야에서 사용된다. 혼합 현실(MR)은 1994년 폴 밀그램(Paul Milgram)에 의해 구체화되었다."
4928,"혼합연소화력발전소 (混合燃燒火力發電所, Multi- Fuel Fired Power Plant)",동시에 두가지 이상의 연료를 사용할 수 있는 화력 발전소이다.
4929,"혼합영역 (混合領域, Dilution Zone)",가스터빈에서 연소가스의 온도를 터빈 입구가스 온도까지 강하시켜 적절한 분포를 얻을 수 있는 공기를 혼입하는 영역이다.
4930,혼합의무자(混合義務者),「신에너지 및 재생에너지 개발 이용 보급 촉진법」 제23조의2제1항에 따라 일정 비율 이상의 신·재생에너지 연료를 수송용 연료에 혼합하여야 하는 자를 말한다.
4931,"혼합헤더 (混合헤더, Mixing Header)",급수 또는 증기의 혼합을 목적으로 하는 연결관을 말한다.
4932,혼합형 태양전지 시스템 (Hybrid Solar Cell System ),태양전지에 냉각시스템을 적용하여 그 시스템의 냉각매체의 의해서 모아진 열에너지를 유용하게 사용할수있게 설계된 혼합시스템이다.
4933,"혼합형연소기 (混合刑燃燒기, Can Annular Type Combustor)",공통 환형 공간내에 여러개의 동일한 화염통을 원주에 따라 배열한 연소기로서 구성상 견고하고 온도분포가 균일한 가스터빈용 연소기이다.
4934,"화격자면적 (火格子面積, Grate Area)",연소에 유효한 화격자의 면적을 말한다.
4935,"화격자연소장치 (火格子燃燒裝置, Stoker Firing Equipment)",석탄을 분쇄하지 않고 괴탄 그대로 화격자를 사용하여 연료를 연소시키는 장치이다.
4936,"화로분할벽 (火爐分割壁, Division Wall/Center Wall)",화로내의 하부에서 윗부분까지 연속된 수관 또는 과열기관으로 구성된 수직판 모양의 관격벽. 분할벽을 채용함으로써 필요 이상으로 노의 폭과 높이를 높일 필요없이 충분한 전열면과 유체통과면적을 얻을 수 있으며 연소가스의 흐름도 편류되지 않게 일정하게 된다.
4937,"화로용적 (火爐容積, Furnace Volume)",보일러에서 연료를 완전 연소시키기 위하여 설치한 화로의 내용적을 말하며 ㎥로 표시한다.
4938,화면 찢김(Screen tearing),"동의어: 스크린 테어링 모니터 화면이 찢어지듯 갈라지는 현상.일반적으로 모니터는 초당 60 프레임의 화면 재생률(refresh rate)를 갖는데, 그래픽스 카드의 그래픽스 처리 장치(GPU)가 모니터 재생률에 맞춰 프레임을 전송하지 못해 발생되는 현상이다. 화면 찢김 현상은 주로 고화질의 게임에서 발생된다. 화면 찢김 현상을 줄이기 위해 그래픽스 카드의 표시 프레임을 고정시키는 수직 동기(V-Sync: vertical synchronization) 기능이나 모니터 화면 재생률을 가변시키는 적응적 동기(Adaptive-Sync: adaptive synchronization) 기능 등이 사용된다. "
4939,"화물유펌프 (貨物油펌프, Cargo Oil Pump)",수송선내의 연료유를 저장탱크 등으로 송출하기 위해 선내에 설치된 펌프이다.
4940,"화소 밀도(畵素密度,Pixels per inch,PPI)","화소 밀도(畵素密度) , 픽셀 밀도, 픽셀 퍼 인치(pixels per inch, PPI)는 다양한 환경에 쓰이는 장치 해상도의 측정 단위이다. 일반적으로 컴퓨터 디스플레이, 이미지 스캐너, 디지털 카메라 고체 촬상 소자에 쓰인다. PPI는 특정 공간 내에 인쇄되는 그림의 해상도를 화소 단위로 설명된다. 이 단위는 제곱 인치가 아니다. 예로 1제곱 인치에 인쇄되는 100×100 화소의 그림은 100 PPI의 해상도를 지닌다고 할 수 있다. 이러한 방식에 따라 그림을 인쇄하는 데 측정하는 경우 유용하게 사용할 수 있다."
4941,"화씨온도 (화씨溫度, Fahrenheit Scale)","표준대기압 하에서 순수한 물의 빙점을 32도, 비등점을 212도로 취하고 그 사이를 180등분하여 1로 정한 온도를 말하며 F로 표시한다."
4942,"화염 (火焰, Flame)",보일러 속에서 연료가 연소할 때 발생하는 불꽃을 말한다.
4943,"화염검출기 (火焰檢出器, Flame Detector/Flame Scanner)","버너의 연소상태를 검출하는 기기로서 화염의 밝기를 전기적인 신호로 변환시켜 연소상태를 제어실에 지시하고, 연소상태가 불량한 버너는 소화시키는 신호를 발생시키는 장치이다. 화염검출 방식에는 자외선식, 가시광선식, 적외선식 플리커(Flicker)식등이 있으며 검출렌즈가 연소실내에 있으므로 과열을 방지하기 위해 반드시 냉각용 공기를 공급하여야 한다."
4944,"화염상부측공기노즐 (火炎上部側空氣노즐, Overfire Air Nozzle)","CE사의 코너연소방식에서 2단 연소법에 의한 Nox를 저감하기 위하여 추가로 공기를 공급하는 공기 공급구로서, 일반적으로 OFA(Over Fire Air Port)라 한다. 연소용 공기를 2단계로 나누어 주연소 영역으로 공기량을 부족하게 공급하여 산소 농도를 낮추고, 화염온도를 저하시켜 Nox를 저감하며 완전연소 되지 못한 미연가스는 화염 상부측으로 공급되는 나머지 공기로 완전 연소시킨다."
4945,"화염안전버너 (火焰安全버너, Stabilizing Oil Bu- rner)",국내 무연탄과 같이 회분함량이 많고 휘발분이 낮아 연소성이 좋지 않은 연료사용시 주버너를 통한 화염이 불안정하여 불이 꺼질 염려가 있으므로 이를 방지하기 위하여 안정된 화염의 연소가 이루어지도록 유류 등을 분사시켜 연소하는 버너이다.
4946,"화염전파관 (火炎轉派管, Cross Fire Tube)",가스터빈 기동후 점화시 점화 플러그가 있는 연소기의 화염이 다른 연소기로 전파되도록 연소기 사이를 연결한 관이다.
4947,"화염전파속도 (火焰傳播速度, Flaming Speed)","분사된 연료의 연소에 있어서 착화점을 중심으로 하여 가연부분에서 미연부분으로 화염이 이동하는 속도를 의미하며 연소속도(Flame Propagation)라 한다. 연료중의 휘발분, 회분의 함량에 따라 화염전파 속도는 크게 영향을 받으며, 화염 전파속도보다 연료 분사 속도가 빨라야 역화 및 과열을 방지할 수 있다."
4948,화이트메탈 (White Metal),"Pb-Sn-Sb계, Sn-Sb계 합금의 총칭으로 융점이 낮고 부드러우며 마찰이 적어서 구조용 재료는 되지 않으나 베어링 합금에 사용된다."
4949,"화차계량대 (貨車計量臺, Wagon Weighter)",화차에 적재된 석탄의 중량을 측정하기 위해 궤도에 설치된 계량기이다.
4950,"화차하역기 (火車荷役機, Car Dumper System)","보일러 연료인 석탄을 하역하기 위한 설비로 기관차에 의해 발전소 구내에 진입한 화차는 화차견인기에 의해 회전시켜 탄을 하역하는 설비. 동해화력 Car Dumper System은 처음에 화차를 15˚ 회전하여 Clamp로 고정시킨 후 135˚ 회전하여 석탄을 하역하고, 165˚ 회전하여 완전히 화차를 비우는 방식이다."
4951,"화학세정 (化學洗淨, Chemical Cleaning)","보일러는 장시간 운전하게 되면 스케일이 생성되어 열효율이 저하하고 심할 경우에는 과열에 의한 파열사고가 발생할 수도 있으므로 이를 방지하기 위하여 화학약품을 사용하여 모재 금속의 손상없이 스케일을 제거하는 것을 말하며 세정약품에 따라 산세정 (무기산, 유기산),알카리세정으로 구분한다."
4952,"화학적 소화 (化學的 消火, Chemical Extinguish)","위험물 화재의 소화에는 특수한 화학소화제를 사용해야 한다. 또 기계장치에 나쁜 영향이 미치지 않도록 특수한 화학소화제를 사용하는 경우도 있다. 이와 같이 특수한 화학소화제를 사용해서 소화하는 것을 화학적 소화라고 한다. 화학소화제로서는 다음과 같은 것이 있다. 석유류의 질식소화를 목적으로 하는 것으로는 단백질을 주제로 한 거품소화제, 중탄산나트륨과 황산알루미늄과의 반응에 의해서 생성되는 화학거품, 그밖에 계면활성제를 주제로 하는 거품, 탄산가스, 사염화탄소, 중탄산나트륨, 중탄산칼륨, 인산염류 등을 주제로 하는 분말소화제가 있다. 종이나 고무 등 일반가연물의 화재에 적응하는 소화제로는 인산염류를 주제로 하는 강화액 소화제, 거품소화제 등이 있고, 전기화재에 적응하는 소화제로는 탄산가스, 사염화탄소, 일염화일브름화 메탄, 분말소화제 등이 있다. 사염화탄소와 같은 할로겐계의 원소를 함유한 소화제는 소화시에 유독가스를 발생할 우려가 있으므로 사용시나 사용후에 충분한 환기를 해야 한다."
4953,"화학적산소요구량 (化學的酸素要求量, Chemical Oxygen Demand(COD))",유기물 또는 환원성 화합물을 화학적으로 산화시키는데 필요한 산소의 양으로 수질의 오탁을 나타내며 ppm으로 표시한다. 수치가 크면 유기물이 많다는 것을 의미하므로 그만큼 오염이 심하게 됐음을 나타낸다.
4954,"화학천칭 (化學天秤, Chemical Balance)",화학분석 또는 실험시에 정밀한 질량 측정에 사용되는 저울이다.
4955,화합물 반도체,"태양전지 단일 원소로 구성된 실리콘과는 달리 두 가지 이상의 원소가 결합된 화합물 재료로 만들어진 태양전지를 말하며 갈륨비소(GaAs) 태양전지가 그 대표적인 예이며, 효율이 높고(30% 정도), 박막화가 가능하며 비교적 고온에서도 특성변화가 적고 방사선에 대한 내구성이 강하여 우주용 등 특수 목적으로 주로 사용됨"
4956,"확률오차/종합불확도 (確率誤差/綜合不確度, Pro- bable Error/Overall Uncertainty)",어떤 오차보다 작은 오차가 발생하는 확률과 큰 오차가 발생하는 확률이 서로 같은 오차를 확률오차라 하며 계측의 정도를 표시한다. 확률요차는 계측회수의 증가에 따라 급속히 감소되어 10회 이상으로 되면 그렇게 효과가 없음. 따라서 2회의 평균을 취하는 것은 이런 의미에서 유효하고 또 오차의 발견에도 유효하다.
4957,"확산계수 (擴散係數, Diffusion Factor)",날개면에 따른 흐름의 감속비율을 표시하는 계수이다.
4958,"확산흐름 (擴散흐름, Divergent Flow)","단면적이 점차 넓어져 흐르는 유체의 흐름으로 단면적의 확대에 따라서 평균유속은 감소하고 압력은 증대된다. 실제 이러한 흐름에서는 벽면에서 와류가 발생, 박리로 인하여 손실이 발생될 수도 있다."
4959,환경개선부담금 (環境改善負擔金),"대기, 수질오염을 일으키는 시설물과 지프, 승합차, 버스, 트럭 등의 경유자동차에 부과"
4960,"환경경영·감사계획(Eco-Management and Audit Scheme,EMAS)",유럽의 환경경영·감사에 관한 계획. EMAS는 ISO 14001과 같이 기업의 환경경영시스템을 평가하여 인증을 수여하는 유럽의 환경경영시스템인증제도. 1993년 7월 EU Commission에서 지속 가능한 개발(sustainable development)을 위한 환경정책의 일환으로 EMAS 실행을 명시한 Reg.(EC)No.1836/93이 발표되었음. 1995년 4월 industrial sites로 제한하여 각 인증기관(com- petent body)의 자발적인 참여하에 시행된 임의제도임.
4961,환경경영체제 (環境經營體制),"체계적인 환경관리를 위해 환경에 관한 조직의 방침을 정하고 그것을 실행하기 위한 시스템에 대한 요건을 갖추는 것이다. 구체적으로 각 조직의 환경방침의 설정, 책임체제정비, 환경영향파악, 환경목표설정, 목표달성계획과 실행 매뉴얼 준비, 환경심사 실시 등을 포함한다."
4962,"환경성과지수(Environmental Performance Index,EPI)","환경성과지수(EPI)란 세계경제포럼(WEF, 다보스포럼)이 각국의 환경과 관련된 경제, 사회 정책을 종합적으로 평가하기 위해 환경지속성지수(ESI)와 함께 발표하는 지수로, 국가의 노력으로 환경이 개선된 정도를 나타냄. 2001년부터 세계경제포럼 산하의 환경대책반에서 미국 예일대학 및 콜럼비아 대학 환경연구소와 공동으로 이들 지수를 1∼3년 간격으로 발표하고 있음. 환경성과지수(EPI)는 환경보건, 대기질, 수자원, 자연자원, 생물다양성, 에너지 6개 분야 16개 변수로 구성되며, 분야별 점수비중은 환경보건 50%, 나머지 분야 각 10% 임. 우리나라의 2008년 환경성과지수(EPI)가 조사대상 100점 만점에 79.4점을 얻어 149개국 중 51위에 머물고 있음."
4963,환경영향평가 (環境影響評價),"발전설비 용량 1만㎾이상의 발전소 건설사업 추진시 건설타당성 조사단계에서 건설공사 및 운영에 따른 4계절 영향예측 및 평가, 환경영향을 저감시키기 위한 대책수립 및 대안검토, 평가서 초안작성, 주민의견수렴, 최종평가서 작성 및 환경부 협의 등의 업무를 말한다."
4964,"환경영향평가 (環境影響評價, Environmental Im- pact Assessment)",대규모 개발사업이나 도시계획추진은 환경에 심각한 영향을 주므로 개발사업이 환경에 미치는 다양한 영향에 관해서 사전에 지역환경의 특성을 종합적으로 조사하여 미리 영향을 예측 및 평가하고 환경오염을 미연에 방지하여 최소화하려는 제도이다.
4965,환경쿠츠네츠 곡선(Environmental Kuznets Curve),"일반적으로 쿠즈네츠 곡선은 역U자형의 모양을 가지는데 흔히 소득불평등과 경제발전간의 관계를 나타내며, 이러한 쿠츠네츠곡선은 공해와 경제성장간에도 나타낼 수 있는데 바로 이것이 환경 쿠즈네츠 곡선임. 경제발전 단계가 낮은 국가들은 상당량의 공해물질을 배출하지 않으면 생산활동 자체가 불가능하게 됨. 1인당 소득이 증가하게 되면 환경훼손도 함께 증가하게 되며, 점차 소득이 증대됨에 따라 사람들은 삶의 질에 관심을 가지게 되는데 이에 따라 정부는 공해를 줄이고자 노력하게 됨. 즉, 이러한 공해라는 것은 미시적인 용어를 빌어서 사용하면 사치재(Luxury good)로 볼 수 있음."
4966,"환기팬 (換氣팬, Ventilation Fan)",1. 실내 또는 탱크 등의 장치 내를 환기시키는 팬 2.원유 또는 가스를 사용하는 경우 누출되는 가스농도를 폭발한계 이하로 하기 위해 배출시키는 팬이다.
4967,"환상면적 제한손실 (環狀面積 制限損失, Annulus Restrction Loss)",배기속도가 음속에 달할때 단출구(Stage Outlet)에서 발생되는 부가적 손실을 말하다.
4968,환열기(Recuperator),"넓은 의미로는 축열기 이외의 열교환기를 말하는데, 좁은 의미로는 연소배기가스에 의한 연소용 공기예열기를 말하며, 여열 이용의 한 형태이다. 300℃이하에서는 보통강, 500℃이하에서는 13크롬강, 700℃이하에서는 18-8강, 그 이상에서는 더 고급인 합금을 이용한다."
